intent;phrase
abrir_conta;Quero abrir uma conta no banco Banco Magnus
abrir_conta;Gostaria de informações para fazer uma conta
abrir_conta;Preciso fazer uma conta nesse banco
abrir_conta;Como faço para ter uma conta benefício?
abrir_conta;É grátis fazer uma conta do Banco Magnus?
abrir_conta;Não consigo abrir conta pelo app?
abrir_conta;Quero receber benefício no banco Banco Magnus
abrir_conta;Não estou conseguindo abrir conta
abrir_conta;Abrir uma conta
abrir_conta;Quero falar sobre abertura de conta
abrir_conta;Está dando erro na abertura de conta
abrir_conta;Como abrir minha conta pelo aplicativo?
abrir_conta;Não tenho conta no Banco Magnus
abrir_conta;Fazer portabilidade para Banco Magnus
abrir_conta;Como eu crio uma conta na mb?
abrir_conta;Criar conta no aplicativo
abrir_conta;Quero ter conta corrente
acessar_conta;Acessar minha conta
acessar_conta;Quero acessar minha conta
acessar_conta;Como faço para ter acesso a minha conta pelo app
acessar_conta;Como acessar a conta sem ir à agencia
acessar_conta;Como entro na minha conta pelo aplicativo?
acessar_conta;Não sei como acessar minha conta no app
acessar_conta;Como eu faço para entrar no meu aplicativo
acessar_conta;Quero fazer um pix, mas não tenho acesso ao aplicativo
acessar_conta;Quero cadastrar dispositivo
acessar_conta;Como fazer primeiro acesso ao app
acessar_conta;Gostaria de ter acesso a minha conta
acessar_conta;Como entrar na conta?
acessar_conta;Meu aplicativo está dando erro no primeiro acesso
acessar_conta;Gostaria de acessar o aplicativo pelo celular
acessar_conta;Como faço pra abrir meu app
acessar_conta;Queria saber como eu entro no aplicativo
acessar_conta;Não estou conseguindo acessar minha conta pelo celular
acessar_conta;Como se entra no app?
acessar_conta;Como utilizar o app do banco?
acessar_conta;Tenho o app mas não consigo logar
acessar_conta;Gostaria ver passo passo do aplicativo para cadastrar
acessar_conta;Não consigo ter acesso a minha conta
alterar_dados_cadastrais;Alterar dados cadastrais
alterar_dados_cadastrais;Troquei meu número de celular
alterar_dados_cadastrais;Não tenho mais acesso a esse número de telefone
alterar_dados_cadastrais;Preciso fazer uma atualização cadastral
alterar_dados_cadastrais;O número de celular que aparece para vir a senha de acesso não é mais meu
alterar_dados_cadastrais;Renovar o meu endereço
alterar_dados_cadastrais;Tem informações erradas no meu cadastro
alterar_dados_cadastrais;Meu número de telefone para receber mensagens está errado
alterar_dados_cadastrais;teria como vocês trocarem o número para receber a senha?
alterar_dados_cadastrais;Quero fazer alteração de contato
alterar_dados_cadastrais;Quero solicitar mudança de telefone
alterar_dados_cadastrais;Gostaria de trocar telefones
alterar_dados_cadastrais;Como faço para mudar de número de celular
alterar_dados_cadastrais;Meu cadastro está desatualizado
alterar_dados_cadastrais;Meus dados cadastrais não estão atualizados
alterar_dados_cadastrais;Quero informar que troquei de número
alterar_dados_cadastrais;Quero fazer atualização cadastral
alterar_dados_cadastrais;Gostaria de saber qual o número do meu celular que está cadastrado
alterar_dados_cadastrais;Gostaria de saber se consigo alterar o endereço de envio
alterar_dados_cadastrais;Preciso atualizar dados do app Banco Magnus
alterar_dados_cadastrais;Informar mudança de endereço
alterar_limite_cartao;Alterar limite do cartão de crédito
alterar_limite_cartao;Gostaria de saber como aumenta o limite do cartão de crédito
alterar_limite_cartao;Quero alterar o limite do meu cartão de crédito
alterar_limite_cartao;Preciso de mais crédito no cartão
alterar_limite_cartao;Não tenho crédito suficiente
alterar_limite_cartao;Gostaria de ter mais limite no cartão
alterar_limite_cartao;Gostaria de aumentar meu limite do cartão
alterar_limite_cartao;Como faço para alterar o limite do meu cartão de crédito
alterar_limite_cartao;Quero alterar o limite do meu cartão de crédito
alterar_limite_cartao;Quero fazer alteração de limite
alterar_limite_cartao;Quero fazer uma alteração de limite
alterar_limite_cartao;Quero fazer uma alteração de limite de crédito
baixar_app;Eu quero baixar o aplicativo
baixar_app;Como consigo acesso ao app na loja?
baixar_app;Como que eu faço pra baixar o aplicativo mb no celular
baixar_app;Quero baixar o app do Bando Banco Magnus
baixar_app;Como encontrar app mb para ter no celular
baixar_app;Quero ter o aplicativo no meu celular mas não sei como fazer
baixar_app;Como abro app?
baixar_app;Baixar aplicativo
baixar_app;Como faço para instalar o aplicativo
baixar_app;Não consigo baixar app
baixar_app;Quero saber como cadastra o aplicativo
baixar_app;Gostaria de baixar um app para minha conta
baixar_app;Quero reativar o app
baixar_app;Quero ter o aplicativo do Banco Magnus
baixar_app;Fazer instalação do aplicativo
baixar_app;Atualizar meu aplicativo
conhecer_contatos;Como eu posso entrar em contato com serviço de apoio?
conhecer_contatos;Que horas o banco está abrindo?
conhecer_contatos;Quero saber até que horas posso ligar no sac
conhecer_contatos;Estou tentando entrar em contato com a Ouvidoria
conhecer_contatos;Qual o telefone do banco?
conhecer_contatos;Como entro em contato com o atendimento telefonico?
conhecer_contatos;Onde eu encontro uma agência Banco Magnus?
conhecer_contatos;Eu gostaria de saber o endereço do banco mais próximo
conhecer_contatos;Quero o número dos contatos
conhecer_contatos;Conhecer contatos do Banco Magnus
conhecer_contatos;Qual horário abre a agência?
conhecer_contatos;Gostaria de saber horário de atendimento das agências
conhecer_contatos;Gostaria de ter atendimento por telefone
conhecer_contatos;Pode mandar o número do banco Banco Magnus para eu ligar
conhecer_contatos;Como falar com o gerente da minha conta
conhecer_contatos;Gostaria de saber localização de agências
conhecer_contatos;o auto atendimento está funcionando?
conhecer_contatos;Telefone pra ligar com atendente
conhecer_contatos;Gostaria de ligar para um atendente
conhecer_contatos;Quando o banco vai abrir?
conhecer_contatos;Conhecer contatos e horários
conhecer_contatos;Saber o horário de funcionamento das agências
conhecer_contatos;Preciso do número de telefone para falar com atendente
conhecer_contatos;Quero um número de telefone que possa falar no banco
conhecer_contatos;Banco Banco Magnus é fechado hoje?
conhecer_contatos;Que horas fecha os bancos?
conhecer_contatos;Saber em qual cidade tem o banco
conhecer_divida;Conhecer pendências financeiras
conhecer_divida;Queria saber quanto eu devo aí no Banco Magnus
conhecer_divida;Estou com débitos aberto no banco Banco Magnus?
conhecer_divida;Qual valor da minha pendência com o banco?
conhecer_divida;Tenho um dívida no Banco Magnus e gostaria de saber quanto
conhecer_divida;Qual o valor para quitar a dívida toda?
conhecer_divida;Consta que tenho um débito em aberto com vocês
conhecer_divida;Quero saber se estou devendo no cartão
conhecer_divida;Quero saber meu saldo devedor
conhecer_divida;Quero ver se tem débito vencido
conhecer_divida;Quero saber meus débitos
conhecer_divida;Gostaria de saber se possuo alguma pendência
conhecer_divida;Renegociar meu empréstimo pessoal
conhecer_divida;Qual o valor da minha dívida?
conhecer_divida;Quero saber quanto devo ao banco
conhecer_limite;Saber limite
conhecer_limite;Como vejo quanto tenho de limite no cartão
conhecer_limite;Queria saber quanto tenho de limite
conhecer_limite;Pode me informar quanto tenho de limite?
conhecer_limite;Quero saber qual é meu limite
conhecer_limite;Saber quanto tenho de limite
conhecer_limite;Quero saber quanto posso gastar no cartão
conhecer_limite;Qual o limite que vai vir no cartão?
conhecer_limite;Gostaria do aumento de limite do cartão de crédito
conhecer_limite;Quero saber limites do meu cartão
conhecer_limite;Quero saber os limites de cartão de crédito
conhecer_limite;Quero saber o saldo disponível no cartão
conhecer_limite;Como posso ver o saldo do cartão consignado
conhecer_limite;Ver saldo do meu cartão de crédito
conhecer_limite;Ver limite de conta corrente
desbloquear_app;Desbloquear aplicativo
desbloquear_app;Quero desbloquear meu aplicativo
desbloquear_app;Como faz para desbloquear o acesso do app
desbloquear_app;Aplicativo está bloqueado
desbloquear_app;Desbloqueio da senha AppMB
desbloquear_app;O que fazer para liberar aplicativo
desbloquear_app;Estou tentando desbloquear meu aplicativo no meu celular
desbloquear_app;Preciso do desbloqueio do acesso ao App no celular
desbloquear_app;Excedi números de tentativas e bloqueou o app
desbloquear_app;Quero desbloquear meu aplicativo
desbloquear_app;Como faz para desbloquear o acesso do app
desbloquear_app;Aplicativo está bloqueado
desbloquear_app;Desbloqueio da senha AppMB
desbloquear_app;O que fazer para liberar aplicativo
desbloquear_app;Estou tentando desbloquear meu aplicativo no meu celular
desbloquear_app;Preciso do desbloqueio do acesso ao App no celular
desbloquear_app;Excedi números de tentativas e bloqueou o app
desbloquear_app;Como fazer a liberação de app
desbloquear_app;Esqueci minha senha do app
desbloquear_app;Estou com bloqueio para entrar na conta pelo app
desbloquear_app;Meu acesso está bloqueado
desbloquear_app;Gostaria de desbloquear dispositivo
desbloquear_app;não consigo desbloquear o app
desbloquear_app;Quero desbloquear minha conta do app
desbloquear_app;Queria falar sobre o bloqueio do meu aplicativo
desbloquear_cartao;Como faço o desbloqueio de cartão
desbloquear_cartao;Quero desbloquear meu cartão
desbloquear_cartao;Quero o desbloqueio de cartão de crédito
desbloquear_cartao;Como desbloquear o cartão?
desbloquear_cartao;Não consigo desbloquear o cartão
desbloquear_cartao;Desbloquear cartão
desbloquear_cartao;Gostaria de desbloquear função crédito
desbloquear_cartao;Meu cartão de crédito está bloqueado
desbloquear_cartao;Informar roubo de cartão
encerrar_conta;Encerrar minha conta
encerrar_conta;Gostaria de encerra a conta
encerrar_conta;Não preciso mais dessa conta
encerrar_conta;Quero encerrar a minha conta
encerrar_conta;Quero realizar o bloqueio da minha conta
encerrar_conta;Preciso fazer o encerramento de uma conta
encerrar_conta;já pedi para fechar essa conta
encerrar_conta;Quero cancelar conta corrente
encerrar_conta;Solicito o fechamento da conta corrente
encerrar_conta;Desejo fechar a minha conta
encerrar_conta;Como cancelar a conta?
encerrar_conta;Quero cancelar conta bancária
encerrar_conta;Encerrar minha conta através do internet banking
encerrar_conta;Gostaria de solicitar o cancelamento das minhas contas
falar_atendente;Falar com atendente
falar_atendente;Solicito atendmento humano
falar_atendente;Falar com suporte técnico
falar_atendente;Quero atendimento humanizado
falar_atendente;Quero ser atendida por um atendente
falar_atendente;Gostaria de ser atendida por uma pessoa
falar_atendente;Eu preciso de atendimento especialista
falar_atendente;Gostaria de ser ajudada por um funcionário
falar_atendente;Gostaria de conversar com especialista
falar_atendente;Saber como fala com atendente?
falar_atendente;Fala com especialistas
falar_atendente;Poderia me direcionar a um dos seus colaboradores?
liberar_dispositivo;Quero liberar o app
liberar_dispositivo;Gostaria de fazer liberação do dispositivo
liberar_dispositivo;Quero fazer a liberação do aplicativo
liberar_dispositivo;Como liberar o dispositivo?
liberar_dispositivo;Saber como liberar dispositivo no aplicativo
liberar_dispositivo;Liberação do dispositivo
liberar_dispositivo;Quero ativar meu aplicativo no celular
liberar_dispositivo;Habilitar celular para uso do aplicativo do mb
liberar_dispositivo;Liberação de aplicativo pelo sms
liberar_dispositivo;Quero colocar o aplicativo do banco no outro aparelho
liberar_dispositivo;O que fazer para liberar aplicativo
liberar_dispositivo;Troquei o aparelho preciso liberar o aplicativo
liberar_dispositivo;Preciso liberar o internet bankline
liberar_dispositivo;Liberar internet bank
liberar_dispositivo;Como consigo autorizar meu aparelho?
liberar_dispositivo;Como faço para fazer a liberação por sms?
quero_quitar_emprestimo;Quitar empréstimo pessoal
quero_quitar_emprestimo;Gostaria de pagar todo o empréstimo?
quero_quitar_emprestimo;Como faço para quitar meu empréstimo
quero_quitar_emprestimo;Quero quitar o empréstimo
quero_quitar_emprestimo;Quero terminar de pagar meu empréstimo
quero_quitar_emprestimo;Quero quitar meu consignado
quero_quitar_emprestimo;Quero terminar de pagar meu empréstimo consignado
quero_quitar_emprestimo;Qual valor de quitação do meu empréstimo
quero_quitar_emprestimo;Quero fazer pagamento do valor total do empréstimo
quero_quitar_emprestimo;Fazer a quitação de empréstimos
quero_quitar_emprestimo;Gostaria de liquidar empréstimo
quero_quitar_emprestimo;Preciso saber o valor para quitar
quero_quitar_emprestimo;Quero boleto de um empréstimo
quero_quitar_emprestimo;Quero fazer pagamento de empréstimo
quero_quitar_emprestimo;Adiantar o pagamento do meu empréstimo
quero_quitar_emprestimo;Antecipar parcelas do empréstimo
quero_quitar_emprestimo;Quero pagar um empréstimo
quero_quitar_emprestimo;Pagar parcelas do empréstimo saque aniversário
quero_quitar_emprestimo;Quero quitação do meu contrato
quero_quitar_emprestimo;Quitar parcela do FGTS
rastrear_cartao;Rastrear o cartão
rastrear_cartao;Eu preciso saber quando será entregue meu cartão
rastrear_cartao;Qual prazo para receber o cartão
rastrear_cartao;Quero saber quando chegará meu cartão
rastrear_cartao;Quando chega o cartão de débito?
rastrear_cartao;Já tenho conta mas o cartão não chegou
rastrear_cartao;Como faço para receber o cartão?
rastrear_cartao;O meu cartão não foi entregue ainda o que ta acontecendo
rastrear_cartao;Gostaria de saber quantos dias demora para chegar o cartão
rastrear_cartao;Quando chegará o cartão?
rastrear_cartao;Quero saber quando chegará o cartão
rastrear_cartao;Rastrear meu cartão de crédito
rastrear_cartao;Quero saber quando chegará o cartão, como faço?
rastrear_cartao;Código de rastreio do cartão 
rastrear_cartao;Rastreamento do cartão
realizar_transferencia;Como faço para tranferir do aplicativo para outra conta
realizar_transferencia;Como fazer transferência?
realizar_transferencia;Não estou conseguindo fazer transferência
realizar_transferencia;Como faço para fazer uma transferência
realizar_transferencia;Não consigo transferir dinheiro para minha conta
realizar_transferencia;Realizar uma transferência
realizar_transferencia;Fazer doc da conta para mesma titularidade
realizar_transferencia;Quero transferir dinheiro para minha conta
realizar_transferencia;Quero transferir dinheiro para outra pessoa
realizar_transferencia;Quero realizar uma transferência 
realizar_transferencia;Quero transferir dinheiro
realizar_transferencia;Transferência bancária
realizar_transferencia;Gostaria de fazer uma transferência
realizar_transferencia;Realizar transferência
receber_extrato;Quero saber quanto tem na conta
receber_extrato;Quero saber se meu pagamento está na minha conta
receber_extrato;Qual valor está na conta?
receber_extrato;Preciso saber o saldo da minha conta hoje
receber_extrato;Quanto tenho disponível na minha conta?
receber_extrato;Como faço para ver valor do meu benefício
receber_extrato;Ver saldo da conta benefício
receber_extrato;Receber extrato
receber_extrato;Estou querendo o extrato do mês
receber_extrato;Solicitação do extrato
receber_extrato;Quero saber se foi descontado o empréstimo da minha conta
receber_extrato;Gostaria de saber saldo disponível
receber_extrato;Quero imprimir extratos
receber_extrato;Gostaria de olhar quanto tenho em minha conta
receber_extrato;O pagamento já está na minha conta?
receber_extrato;Como vejo meu saldo?
receber_extrato;Quero saber se o dinheiro da aposentadoria já foi creditado
receber_extrato;Não consigo consultar saldo
receber_extrato;Acesso ao extrato da conta
receber_extrato;Como baixar meu extrato pelo app
receber_extrato;Quero saber o valor restante para sacar
receber_extrato;Meu benefício não caiu na conta
receber_extrato;Gostaria de ver saldo na conta corrente
receber_extrato;Saber meu saldo atual
receber_extrato;Quero sabe se entrou algum dinheiro na minha conta
alterar_senha;Não lembro a minha senha
alterar_senha;Esqueci minha senha de acesso
alterar_senha;Preciso da senha para usar o app
alterar_senha;Não sei qual é a senha
alterar_senha;Tem como redefinir a senha por aqui?
alterar_senha;Como criar a senha
alterar_senha;Como faço outra senha
alterar_senha;Recuperar senha
alterar_senha;Fazer nova senha
alterar_senha;Esqueci senha de letras da conta
alterar_senha;Fazer senha para boca do caixa
alterar_senha;Não tenho a senha com as letras
alterar_senha;Preciso cadastrar senha de letra do cartão
alterar_senha;Gostaria de saber a senha do meu cartão de crédito
alterar_senha;Não tenho as letras de acesso Banco Magnus
alterar_senha;Preciso lembrar letra de acesso
alterar_senha;Preciso da senha de letra do meu cartão
alterar_senha;Quero a letra de acesso ao aplicativo
alterar_senha;Queria recuperar a senha para entrar na minha conta
alterar_senha;Gostaria de desbloquear minha senha
relatar_problemas_app;Dificuldades com aplicativo
relatar_problemas_app;Não consigo acessar o app do banco Banco Magnus
relatar_problemas_app;Não consigo fazer o cadastro do aplicativo
relatar_problemas_app;Como eu entro na internet banking?
relatar_problemas_app;O app não encontra minha conta
relatar_problemas_app;Não estou conseguindo entrar no aplicativo
relatar_problemas_app;Estou com problemas no aplicativo
relatar_problemas_app;Não consigo entrar no aplicativo com os números da conta
relatar_problemas_app;Tenho uma conta que não consegui acessar pelo aplicativo
relatar_problemas_app;Não consigo acessar minha conta
relatar_problemas_app;Não consigo acessar o App da conta
relatar_problemas_app;Não consigo ter acesso a conta
relatar_problemas_app;No app aparece conta que não existe
relatar_problemas_app;Como resolver problema no app?
relatar_problemas_app;Meu app do Banco Magnus está travado
relatar_problemas_app;Meu app não entra
relatar_problemas_app;O que fazer para liberar aplicativo
relatar_problemas_app;Preciso da liberação do dispositivo
relatar_problemas_app;Meu app não tá funcionando
relatar_problemas_app;Meu app está dando erro
relatar_problemas_app;Estou com problema para acessar minha conta
relatar_problemas_app;Não consigo visualizar minha conta pelo aplicativo
relatar_problemas_app;Erro ao abrir o aplicativo
solicitar_acordo;Solicitar acordo
solicitar_acordo;Tenho uma dívida e gostaria de fazer o pagamento
solicitar_acordo;Quero negociar dívidas
solicitar_acordo;Quero renegociação do cartão de crédito
solicitar_acordo;Negociar minha pendência com o banco
solicitar_acordo;Eu quero liquidar minhas dívidas com o banco
solicitar_acordo;Renegociação com prestação mais baixa possível
solicitar_acordo;Quero dividir o pagamento dos meus débitos
solicitar_acordo;Quero refinanciar meus empréstimos
solicitar_acordo;Quero solicitar renovação de dívida
solicitar_acordo;Preciso fazer um refinanciamento
solicitar_acordo;Quero fazer refinanciamento
solicitar_acordo;Quero diminuir a parcela do empréstimo
solicitar_acordo;Quero parcelar cartão
solicitar_acordo;Gostaria de saber como parcelar a fatura do cartão
solicitar_acordo;Gostaria de renegociar divida
solicitar_acordo;Gostaria de refinanciar consignados
solicitar_acordo;Quero renegociar consignados
solicitar_acordo;Quero renegociar cartão
solicitar_acordo;Gostaria de tentar um acordo
solicitar_acordo;Renegociar a dívida
solicitar_acordo;Fazer parcelamento de cartão
solicitar_acordo;Negociar dívidas
solicitar_acordo;Qual o valor para quitar atraso do cartão?
solicitar_acordo;Quero aceitar proposta de negociação
quero_boleto;Solicitar boleto
quero_boleto;Envie minha fatura
quero_boleto;Quero receber a fatura
quero_boleto;Pode me mandar o boleto para pagar
quero_boleto;Quero pagar minha parcela
quero_boleto;Preciso do código de barras para pagamento
quero_boleto;Quero a segunda via do boleto
quero_boleto;Gostaria da 2 via do boleto
quero_boleto;Não consegui pegar a fatura pelo site
quero_boleto;Gostaria de receber o código de barras
quero_boleto;Quero a fatura do cartão consignado
quero_boleto;Gostaria de saber qual a data vence fatura
quero_boleto;Quero fatura de cartão de credito
quero_boleto;Quero pagar meu cartão
quero_cartao;Solicitar cartão de crédito
quero_cartao;Quero um cartão de crédito
quero_cartao;O que é preciso fazer para ter cartão de crédito aprovado?
quero_cartao;Queria saber se tenho direito a cartão de crédito
quero_cartao;Tem como eu conseguir um cartão de crédito?
quero_cartao;Quero saber como faço para ter cartão de crédito
quero_cartao;Como ter um cartão consignado
quero_cartao;Quero solicitar o cartão da conta
quero_cartao;Solicitar cartão
quero_cartao;Meu cartão expira em breve, como faço pra tirar outro?
quero_cartao;Como contratar visa consignado
quero_cartao;Perdi o cartão e quero outro
quero_cartao;Quero meu cartão consignado
quero_cartao;Preciso pedir a segunda via do cartão da conta corrente
quero_cartao;Solicitar emissão do cartão
quero_emprestimo;Solicitar empréstimo
quero_emprestimo;Como solicitar consignado?
quero_emprestimo;Já posso pedir um empréstimo?
quero_emprestimo;Tenho direito a empréstimo?
quero_emprestimo;Quero fazer um consignado
quero_emprestimo;Gostaria de contratação consignado
quero_emprestimo;Como que eu faço para tomar um empréstimo com vocês?
quero_emprestimo;Terminei de pagar o empréstimo quero fazer outro
quero_emprestimo;Quero contratar um empréstimo pessoal
quero_emprestimo;Quanto posso pedir de empréstimo
quero_emprestimo;Como eu faço pra pegar empréstimo
quero_emprestimo;Preciso de um empréstimo pessoal
quero_emprestimo;Quero fazer empréstimos
quero_emprestimo;Quero saber se tenho margem para empréstimo?
quero_emprestimo;Quero contratar o limite pré aprovado
quero_emprestimo;Quero fazer um empréstimo com benefício do inss
quero_emprestimo;Contratar empréstimo
quero_emprestimo;Gostaria de fazer renovação de empréstimo
quero_emprestimo;Quero meu empréstimo pessoal
quero_emprestimo;Queria saber se trabalha com consignado?
quero_emprestimo;Quero ver minha margem de empréstimo
quero_extrato_emprestimo;Solicitar extrato do empréstimo
quero_extrato_emprestimo;Gostaria de saber quanto é o valor do meu empréstimo
quero_extrato_emprestimo;Até quando vai o meu empréstimo
quero_extrato_emprestimo;Quantas parcelas faltam do meu empréstimo
quero_extrato_emprestimo;Gostaroa de ver quantidade de parcelas do meu empréstimo
quero_extrato_emprestimo;Quando acaba meu consignado?
quero_extrato_emprestimo;Gostaria de saber até quando tenho que pagar o empréstimo
quero_extrato_emprestimo;Quanto eu devo de empréstimo?
quero_extrato_emprestimo;Quero meus extratos do empréstimo pessoal
quero_extrato_emprestimo;Quero saber se tenho empréstimo no meu nome
quero_extrato_emprestimo;Quero ver meus empréstimos contratados
quero_extrato_emprestimo;Quero saber quantas parcelas faltam para terminar de pagar o empréstimo
quero_extrato_emprestimo;Quantas parcelas faltam para quitar meu financiamento
quero_extrato_emprestimo;Quero saber número do contrato do empréstimo pessoal
quero_extrato_emprestimo;Qual o valor do meu empréstimo?
quero_extrato_emprestimo;Quero saber saldo devedor do empréstimo pessoal
quero_extrato_emprestimo;Quero ver meus empréstimos
quero_extrato_emprestimo;Saber vencimento dos meus empréstimos
quero_extrato_emprestimo;Quero ver meu empréstimo
quero_extrato_emprestimo;Quanto devo do meu consignado
quero_extrato_emprestimo;Saber desconto do empréstimo